School Name	Charter (Y/N)	District #	SpEd (%)	Free & Reduced Lunch (%)	District Enrollment	MCA Reading Proficiency %	MCA Reading proficiency % for F&R	Tier 1 Reading Curriculum Used	Tier 2 Reading Interventions Materials	Screening Vendor 1	Screening Vendor 2	Screening measures	Progress Monitoring Measures
ST. CLOUD PUBLIC SCHOOL DISTRICT	N	742	22.9	69.9	5000-9999	38.9	27.00%	McGraw-Hill Reading Wonders 2020	Reading Wonders Tier 2	Star		STAR earlylit, Reading, CBMs, Wonders Running Records	STAR earlylit, Reading, CBMs, Wonders Running Records
SAUK CENTRE PUBLIC SCHOOL DISTRICT	N	743	22.3	44.2	1000-2999	39.9	24.70%	Daily 5, Journeys, Heggerty	PRESS, Leveled Literacy Intervention, Read Naturally, Sonday, Game Zones	Star	AIMSweb	Star CBM Reading, AIMSweb, Fountas & Pinnell Benchmark Assessment System	Star CBM Reading, AIMSweb, Fountas & Pinnell Benchmark Assessment System, Heggerty Phonological Assessments
SARTELL-ST. STEPHEN SCHOOL DISTRICT	N	748	17.4	22.9	4000-4999	67.5	50.30%	Reading Wonders/WonderWorks, Open Court Foundational Skills (Phonics)	Information Not Available	FastBridge		FastBridge earlyReading, FastBridge aReading, FastBridge AUTOreading, FastBridge CBMreading, Fountas & Pinnell Benchmark Assessment System	Information Not Available
OWATONNA PUBLIC SCHOOL DISTRICT	N	761	18.1	48.6	4000-4999	47.4	30.30%	Interactive Read Aloud, Shared Reading, Reading Minilessons, Phonics Word Study, Guided Instruction, Independent Practice	HillRAP, PRESS	FastBridge	Benchmark Assessment System	FastBridge earlyReading, FastBridge aReading, FastBridge AUTOreading, FastBridge CBMreading, Fountas & Pinnell Benchmark Assessment System	Information Not Available
ANNANDALE PUBLIC SCHOOL DISTRICT	N	876	16.5	26.6	1000-2999	61.5	47.20%	Benchmark Literacy	Leveled Literacy Intervention	FastBridge	Benchmark Assessment System	Fountas & Pinnell Benchmark Assessment System	Information Not Available
IVANHOE PUBLIC SCHOOL DISTRICT	N	403	13.7	20.5	<1000	67.4	N/A	Benchmark Reading, CAPIT, IXL	Hands-On Phonics for Elementary Children, Sight word readers, Phonics readers, Sight word games Sound Boxes Letters: Match, change one letter, letter identification, sort by how they look, memory, Read the Room, Word-Building, Words Their Way, Road to Reading	NWEA-MAP		NWEA-MAP	Information Not Available
JACKSON COUNTY CENTRAL SCHOOL DIST.	N	2895	19.6	42.9	1000-2999	45.5	32.40%	Information Not Available	Leveled Literacy Intervention	FastBridge		FastBridge earlyReading, FastBridge CBMreading, FastBridge aReading, FastBridge AUTOreading	Information Not Available
JORDAN PUBLIC SCHOOL DISTRICT	N	717	16.1	29.2	1000-2999	59.4	47.20%	Information Not Available	FastBridge interventions, PRESS interventions, Heggerty interventions	FastBridge		FastBridge earlyReading, FastBridge CBMreading	Information Not Available
KASSON-MANTORVILLE SCHOOL DISTRICT	N	204	14.2	23	1000-2999	60.1	36.60%	Fountas & Pinnell, Leveled Library, Heggerty, IXL Reading	PRESS, S.M.A.R.T., Word-warm up, Read Naturally, Leveled Literacy Intervention, Literacy Footprints	FastBridge	Benchmark Assessment System	Fountas & Pinnell Benchmark Assessment System, FastBridge earlyReading, FastBridge aReading, FastBridge CBMreading	Information Not Available
KINGSLAND PUBLIC SCHOOL DISTRICT	N	2137	15.2	34.1	<1000	57.3	51.10%	Journeys	American Reading Company Action 100, Leveled Literacy Interventions, Moby Max, MRC Interventions, Southern Minnesota Education Consortium (SMEC) Curriculum Library	FastBridge	Other	FastBridge aReading, FastBridge CBMreading, Independent Reading Level Assessment (IRLA)	FastBridge progress monitoring tools, Journeys themed tests
KIPP MINNESOTA CHARTER SCHOOL	Y	4191	18.1	>90	<1000	11.3	12.80%	CKLA Skills Curriculum, Close Reading (Wheatley)	Information Not Available	DIBELS	NWEA-MAP	mCLASS DIBELS, NWEA-MAP	Information Not Available
KERKHOVEN-MURDOCK-SUNBURG	N	775	18.2	44.4	<1000	47.4	30.90%	Accelerated Reader, Treasures	MRC, Great Leaps, Explode the Code, Soar to Success, Early Success, Read Naturally, Language for Learning, Reading A-Z, LiPS, Incremental Rehearsal	FastBridge		FastBridge CBMreading, FastBridge earlyReading, FastBridge Comprehension (Maze)	Information Not Available
LAKE BENTON PUBLIC SCHOOL DISTRICT	N	404	21.4	41.9	<1000	67.2	N/A	Journeys, Accelerated Reader	Florida Reading Center, Tumble Books, We Give Books, LIPS, PALS, Visual Phonics, Accelerated Reader	AIMSweb	Star	Star Reading, Star Early Literacy, Developmental Reading Assessment (DRA), Fountas & Pinnell Benchmark Assessment System, Observational Survey	Information Not Available
LAKE PARK AUDUBON SCHOOL DISTRICT	N	2889	18.6	41.1	<1000	46.8	39.50%	Daily 5	PRESS	FastBridge	Star	Star Early Literacy, Star Reading, FastBridge earlyReading, FastBridge Oral Reading Fluency, Boehm test	Letter Sound Fluency (?)
LAKEVIEW SCHOOL DISTRICT	N	2167	18.9	38.1	<1000	59.5	43.20%	Wonders, Journeys	Heggerty Phonics, LETRS guided lesson plans, decodable books, STARFALL, Education Galaxy, Spelling City, Spell Mania, Adobe Spark, Epic, IXL	AIMSweb	Star	Star Early Literacy, Star Reading, AIMSweb Oral Reading Fluency, AIMSweb Phonemic Awareness Assessments, AIMSweb CBM	Information Not Available
LANESBORO PUBLIC SCHOOL DISTRICT	N	229	14.7	40.3	<1000	55.3	40.00%	MacMillan McGraw Hill Spotlight on Literacy	DaisyQuest, Stepping Stones for Literacy, Accelerated Reader/Renaissance Program, Earrobics, Peer Assisted Learning Strategies(PALS), Sounds and Letters, Soar to Success	Star	FastBridge	Information Not Available	Information Not Available
Laporte Public School District	N	306	21.3	64.3	<1000	37.7	33.30%	Information Not Available	PRESS, IXL	Star		Star Reading	Information Not Available
LEROY-OSTRANDER PUBLIC SCHOOLS	N	499	13.6	34.5	<1000		25.00%	Information Not Available	Information Not Available	Star	AIMSweb	Star Reading, AIMSweb, NWEA-MAP	Information Not Available
Lewiston-Altura Public School Dist	N	857	20.4	41.2	<1000	53	40.70%	Journeys, Action 100	Information Not Available	FastBridge	NWEA-MAP	FastBridge earlyReading, FastBridge CBMreading, FastBridge aReading, NWEA-MAP, Independent Reading Level Assessments (IRLA)	Information Not Available
LIFE PREP	Y	4035	10.9	>90	<1000	17.8	17.10%	Fountas & Pinnell	Leveled Literacy Intervention	NWEA-MAP	Benchmark Assessment System	Fountas & Pinnell Benchmark Assessment System	Information Not Available
LITCHFIELD PUBLIC SCHOOL DISTRICT	N	465	20.4	45.8	1000-2999	49.3	37.20%	Houghton Mifflin Harcourt	Information Not Available	FastBridge		Information Not Available	Information Not Available
LESTER PRAIRIE PUBLIC SCHOOL DIST.	N	424	15.8	39	<1000	46.8	35.20%	Treasures, The Daily 5	Information Not Available	Star		Star Early Literacy, Star Reading	Information Not Available
Long Prairie-Grey Eagle School Dist	N	2753	20.8	70	<1000	28.6	24.70%	Creative Curriculum, Benchmark Advance	Information Not Available	FastBridge		FastBridge earlyReading, FastBridge CBMreading, FastBridge Nonsense Word Fluency	FastBridge earlyReading, FastBridge CBMreading, FastBridge Nonsense Word Fluency
Lac qui Parle Valley Schools	N	2853	18.4	58.9	<1000	44.9	33.00%	Wonders, Accelerated Reader, Literacy By Design	Guided Reading, Great Leaps, Read Naturally	Star	Other	Star Early Literacy, Star Reading, Rigby and Wright Group Benchmarks, Observational Survey	Information Not Available
LYLE PUBLIC SCHOOL DISTRICT	N	497	22.6	59	<1000	34.6	28.20%	Benchmark Literacy, Words Their Way	Leveled Literacy Intervention, PRESS	FastBridge	Benchmark Assessment System	FastBridge CBMreading, FastBridge aReading, FastBridge earlyReading, Benchmark Assessment System	Information Not Available
LYND PUBLIC SCHOOL DISTRICT	N	415	8.9	58.6	<1000	35.3	22.50%	Fountas & Pinnell	The Daily 5, Reading for Success, Guided Reading	Star		Star Early Reading, Star Reading, Scholastic Guided Reading Assessments	Information Not Available
Mabel-Canton Public School District	N	238	13.8	39.1	<1000	60.3	N/A	Journeys, Reading A-Z	PRESS, Sonday, IXL	FastBridge		FastBridge CBMreading, FastBridge aReading, FastBridge Oral Reading Fluency, FastBridge earlyReading	FastBridge Benchmark and Progress Monitoring
MACCRAY School District	N	2180	22	50.1	<1000	47.2	31.00%	Jolly Phonics, Savvas MyView	PRESS	Star		Star Early Literacy, Star Reading	Information Not Available
MADELIA PUBLIC SCHOOL DISTRICT	N	837	18.5	61.5	<1000	46.9	38.10%	Core Knowledge Language Arts, Language Studio	Great Leaps Reading, Read Naturally, START Phonics, Explode the Code, PRESS, McGraw-Hill Wonders’ Intervention, Heggerty Phonics	FastBridge	Star	FastBridge earlyReading, Star Reading, NWEA-MAP	Information Not Available
MAPLE LAKE PUBLIC SCHOOL DISTRICT	N	881	23.1	28.4	<1000	57.1	38.60%	Fountas & Pinnell	Information Not Available	Benchmark Assessment System	NWEA-MAP	Fountas & Pinnell Benchmark Assessment System, NWEA-MAP	Information Not Available
MARSHALL PUBLIC SCHOOL DISTRICT	N	413	17.2	56.3	1000-2999	47.3	33.30%	Really Great Reading, CORE Phonics, Heggerty	Really Great Reading, CORE Phonics, Heggerty	DIBELS	NWEA-MAP	DIBELS Foundational Skills, DIBELS Oral Reading Fluency, NWEA-MAP	DIBELS Foundational Skills, DIBELS Oral Reading Fluency
MCGREGOR PUBLIC SCHOOL DISTRICT	N	4	23.7	63.3	<1000	39.6	27.50%	Fountas & Pinnell	Information Not Available	FastBridge	Benchmark Assessment System	FastBridge CBMreading, FastBridge aReading, FastBridge Oral Reading Fluency, Benchmark Assessment System	Information Not Available
METRO DEAF SCHOOL	Y	4005	>90	65.3	<1000	13.2	15.40%	Treasures, Accelerated Reader	Information Not Available	NWEA-MAP	Other	Visual Communication Sign Language (VCSL) Assessment, Test of Early Reading Ability (Deaf and Hard of Hearing), Star Reading, NWEA-MAP	Visual Communication Sign Language (VCSL) Assessment, Test of Early Reading Ability (Deaf and Hard of Hearing)
MEDFORD PUBLIC SCHOOL DISTRICT	N	763	14.8	39.8	<1000	45.4	29.60%	Houghton Mifflin Harcourt, Literacy by Design, Guided Reading Library	PALS, Soar to Success, Earobics, Read Naturally, Orton Gillingham, Words Their Way, Reading First	Star	Benchmark Assessment System	Star Reading, Fountas & Pinnell Benchmark Assessment System	Information Not Available
Minnesota Excellence in Learning Ac	Y	4230	10.5	71	<1000	22.8	18.40%	Benchmark Advance, Thinking Maps	Information Not Available	NWEA-MAP	Benchmark Assessment System	NWEA-MAP, Fountas & Pinnell Benchmark Assessment System, Developmental Reading Assessment	Fountas & Pinnell Benchmark Assessment System, Developmental Reading Assessment
MOUNTAIN IRON-BUHL SCHOOL DISTRICT	N	712	17.3	50.3	<1000	52.4	39.50%	Wonders	Information Not Available	Star		Star Reading, Dolce Word Mastery	Information Not Available
Greenbush Middle River Schools	N	2683	17.3	35.9	<1000	54.5	N/A	Journeys	Journeys interventions, Read Live, EdMark, Reading Eggs	Star		Star Early Literacy, Star ORF, Fry High Frequency Word List	Journeys Unit Tests
MILACA PUBLIC SCHOOL DISTRICT	N	912	26.2	49.2	1000-2999	48.5	4.60%	Fountas & Pinnell	Beanie Babies Reading Strategy – Title One Early Literacy Fluency Practice Protocols – ADSIS Great Leaps – ADSIS Guided Reading (Small-Group Instruction) Heggerty Phonics – K-2 beginning the 2021-22 school year Leveled Literacy Intervention – ADSIS, Title One Literacy Footprints – ADSIS, Title One Minnesota Reading Corps Interventions PALS Phonics for Reading – Title One PRESS – Path to Reading Excellence in School Sites Read Naturally – Title One Reading Fluency Practice Protocols – ADSIS, Title One Reciprocal Teaching Repeated Read Aloud – ADSIS, Title One SRA Direct Instruction Reading – Title One Targeted Reading Interventions	FastBridge	NWEA-MAP	NWEA-MAP, FastBridge earlyReading, AIMSweb ORF	FastBridge (LNF, LSF, ORF), AIMSweb (ORF, MAZE)
MILROY PUBLIC SCHOOL DISTRICT	N	635	0	50	<1000	42.9	N/A	Reading Street	FastForWord, Read Naturally, Sonday, Repeated Reading, Newscaster, Duet Reading	AIMSweb	NWEA-MAP	AIMSweb Plus Assessments, NWEA-MAP	Information Not Available
MINNEOTA PUBLIC SCHOOL DISTRICT	N	414	18.1	32.2	<1000	62.6	60.00%	Journeys, Accelerated Reader	Information Not Available	AIMSweb	NWEA-MAP	AIMSweb Plus Assessments, NWEA-MAP	Information Not Available
MINNETONKA PUBLIC SCHOOL DISTRICT	N	276	12.4	9.8	10,000-19,999	73.3	41.30%	Information Not Available	Wilson Reading System, Fountas & Pinnell Leveled Literacy Intervention	Benchmark Assessment System	NWEA-MAP	easyCBM, NWEA-MAP, Fountas & Pinnell Benchmark Assessment System	easyCBM
MINNEWASKA SCHOOL DISTRICT	N	2149	20.8	35.4	1000-2999		43.10%	Information Not Available	Information Not Available	FastBridge	Star	FastBridge earlyReading, FastBridge aReading, FastBridge AUTOreading, FastBridge CBMreading, Star Reading, Boehm Test	Information Not Available
Minnesota Math and Science Academy	Y	4231	7.4	>90	<1000		27.80%	Information Not Available	Information Not Available	NWEA-MAP	Star	Information Not Available	Information Not Available
MONTICELLO PUBLIC SCHOOL DISTRICT	N	882	15.6	35.3	4000-4999	59.1	40.20%	Benchmark Literacy, Phonics & Word Study, Writer's Workshop	PRESS, Heggerty	FastBridge		FastBridge earlyReading, FastBridge aReading	Information Not Available
NORMAN COUNTY EAST SCHOOL DISTRICT	N	2215	17.6	58	<1000	39.8	34.00%	Information Not Available	PRESS	Star		Star Reading, Star Early Literacy	Information Not Available
NETT LAKE PUBLIC SCHOOL DISTRICT	N	707	33.3	83.3	<1000	58.8	N/A	Collaborative Classroom Curricula	Leveled Literacy Intervention	Star		Star Reading, Star Early Literacy	Star Early Literacy
NEW HEIGHTS SCHOOL, INC.	Y	4003	37.8	58.6	<1000	22.9	19.40%	Information Not Available	Reading A-Z	FastBridge	AIMSweb	NWEA-MAP	Information Not Available
NEW LONDON-SPICER SCHOOL DISTRICT	N	345	16.4	30.2	1000-2999	62.2	34.70%	Benchmark Advance	Information Not Available	FastBridge		FastBridge earlyReading, FastBridge CBMreading, FastBridge aReading	Benchmark Advance
Nova Classical Academy	Y	4098	8.5	20.3	1000-2999	79.2	54.80%	Reading Mastery, Horizons	PRESS, Reading A-Z, Imagine Learning, Spelling Mastery, Words Their Way, Preventing Academic Failure, Phonics from A-Z, Sonday, IXL	FastBridge		FastBridge earlyReading, FastBridge CBMreading, FastBridge aReading, FastBridge AUTOreading	FastBridge CBMreading
NEW PRAGUE AREA SCHOOLS	N	721	15.8	20.2	4000-4999	62	54.70%	Fountas & Pinnell	Fundations, Units of Study, Heggerty	Benchmark Assessment System	FastBridge	Fountas & Pinnell Benchmark Assessment System, FastBridge earlyReading, FastBridge, aReading	Information Not Available
NRHEG SCHOOL DISTRICT	N	2168	15.3	46.1	<1000	48.1	37.70%	Fountas & Pinnell	Information Not Available	Star		Star Reading	Information Not Available
NAYTAHWAUSH COMMUNITY SCHOOL	Y	4155	18.4	84.6	<1000	21.4	17.90%	Benchmark Literacy	Benchmark Literacy Intervention, PRESS	FastBridge		Information Not Available	Information Not Available
NEW YORK MILLS PUBLIC SCHOOL DIST.	N	553	18.6	49.9	<1000	49.3	34.20%	The American Reading Company Framework; Daily 5/CAFE Model	Fundations	AIMSweb	NWEA-MAP	NWEA-MAP, AIMSweb Benchmark Assessment	Independent Reading Level Assessment (IRLA)
ONAMIA PUBLIC SCHOOL DISTRICT	N	480	28.9	74.8	<1000	33.3	28.80%	Benchmark Literacy	Leveled Literacy Instruction, Foundations of Sounds	FastBridge	Star	FastBridge CBMreading, FastBridge earlyReading, FastBridge aReading, Star Reading, Benchmark Assessment System	Information Not Available
ORTONVILLE PUBLIC SCHOOLS	N	2903	23.6	44.5	<1000	60.2	41.50%	Wonders	WonderWorks, Reading Master, Soar to Sucess	Star		Information Not Available	Information Not Available
PARK RAPIDS PUBLIC SCHOOL DISTRICT	N	309	17.4	57.8	1000-2999	41.2	30.80%	Information Not Available	Guided Reading, PRESS, FastBridge Interventions, IXL, Heggerty, Sonday	FastBridge		FastBridge earlyReading, FastBridge CBMreading, FastBridge aReading, FastBridge AUTOreading	Information Not Available
PIPESTONE AREA SCHOOL DISTRICT	N	2689	16.4	48.3	1000-2999	48.1	40.90%	Journeys	Guided Reading, Journeys Intervention, Great Leaps, Making Words, Sound Partners, Sounds Abount, Road to Reading, Leveled Readers	FastBridge		FastBridge earlyReading, FastBridge CBMreading, FastBridge aReading, FastBridge AUTOreading	FastBridge CBMreading
PARTNERSHIP ACADEMY, INC.	Y	4097	16.8	84.5	<1000	17.3	17.30%	Units of Study	PRESS, Read 180/S44, Lexia, LLI, Edge Guided Reading	Star	FastBridge	FastBridge earlyReading, FastBridge CBMreading, Star Reading, Developmental Reading Assessment	FastBridge CBMreading
PAYNESVILLE PUBLIC SCHOOL DISTRICT	N	741	18.9	30.8	<1000	39.1	30.00%	Journeys, Accelerated Reader	Fundations, Barton Reading Program, Touch Points, IXL, Read Live, Read Naturally, First Hand Phonics, Fast Forward Reading Program, PRESS, Guided Reading	FastBridge		Information Not Available	Information Not Available
Pelican Rapids Public Schools	N	548	16.2	58.6	<1000	49.6	38.80%	Treasures; Daily 5/CAFE Model	PRESS	AIMSweb	Benchmark Assessment System	AIMSweb Letter Sounds Fluency, AIMSweb Nonsense Word Sounds Fluency, AIMSweb Oral Reading Fluency, AIMSweb Reading Comprehension, Fountas & Pinnell Benchmark Assessment	Information Not Available
Phoenix Academy Charter School	Y	4253	8.8	41.3	<1000	35.4	36.40%	Benchmark Advanced; Daily 5/CAFE Model	Information Not Available	FastBridge		FastBridge earlyReading, FastBridge CBMreading	Information Not Available
PRIOR LAKE-SAVAGE AREA SCHOOLS	N	719	12.7	19.5	5000-9999	62.1	36.10%	Lucy Calkins Units of Study, Words Their Way, Fundations	PRESS (Path to Reading Excellence in School Sites), Leveled Literacy Intervention (LLI), Comprehension Strategies Kit (CSK)	FastBridge	Benchmark Assessment System	FastBridge Assessments (?), Benchmark Assessment System	Information Not Available
PROCTOR PUBLIC SCHOOL DISTRICT	N	704	18.8	37.7	1000-2999	47.8	33.20%	Creative Curriculum	SIPPS (Systematic Instruction in Phonological Awareness, Phonics, and Sight Words), LLI (Leveled Literacy Intervention), Reciprocal teaching	Benchmark Assessment System	Other	Being A Reader Placement Assessment, Benchmark Assessment System	Information Not Available
PRAIRIE SEEDS ACADEMY	Y	4126	11.5	75.3	<1000	22.7	23.00%	Lucy Calkins Units of Reading, Fountas & Pinnell	Lucy Calkins Reading, Guided Reading, Daily 5 Stations, Fry Sight Words, IXL Reading, Reading Stamina, Leveled Literacy Intervention	FastBridge	NWEA-MAP	FastBridge earlyReading, FastBridge aReading, NWEA-MAP, Benchmark Assessment Systems	LLI Reading Records, Lucy Calkins Unit Assessments
RUSHFORD-PETERSON PUBLIC SCHOOLS	N	239	10.3	36.3	<1000	49.8	31.90%	Reading Street	Information Not Available	FastBridge	Other	FastBridge, Test of Phonological Awareness	FastBridge earlyReading, FastBridge CBMreading, Reading Street assessments
RANDOLPH PUBLIC SCHOOL DISTRICT	N	195	13.8	22.1	<1000	45.1	38.10%	Houghton Mifflin Harcourt, Early Success, Reading Naturally	Peer Assisted Learning (PALS), Early Success, Soar to Success, Read Naturally	Star	Other	Star Reading, Dolch Words and Fluency Screening	Star Reading
Renville County West Schools	N	2890	18.4	56.2	<1000	45.8	30.50%	Benchmark Advance	Read Naturally, Sound Partners, Reading Corp, Path to Reading Excellence in School Sites (PRESS)	Star	Other	Star CBM, Star Reading	Star PM tools, PRESS CBMs, Reading Corp CBMs
ROBBINSDALE PUBLIC SCHOOL DISTRICT	N	281	17.2	60.9	10,000-19,999	43.7	25.80%	A Fresh Look at Phonics, Reading A-Z	PRESS	FastBridge	Other	FastBridge earlyReading, FastBridge aReading, FastBridge, CBMreading, FastBridge AUTOreading, Developmental Reading Assessment	FastBridge earlyReading, FastBridge CBMreading
RED LAKE FALLS PUBLIC SCHOOL DIST.	N	630	13	38.3	<1000	52.6	38.50%	Treasures	Guided Reading, Leveled Literacy Intervention	Benchmark Assessment System	Other	Fountas & Pinnell Benchmark Assessment System, Dolch Sight Words, Words Their Way	Treasures Weekly Assessment
RED ROCK CENTRAL SCHOOL DISTRICT	N	2884	2.2	45.3	<1000	47.2	46.80%	Wonders, SuperKids, Accelerated Reader	Heggerty, Wonders Interventions, All about Reading program	FastBridge	Star	FastBridge aReading, FastBridge earlyReading, FastBridge AUTOreading, FastBridge CBMreading, Star Reading	FastBridge aReading, FastBridge earlyReading, FastBridge CBMreading
REDWOOD AREA SCHOOL DISTRICT	N	2897	24.5	49.6	1000-2999	49.6	39.80%	Reading Mastery, Benchmark Literacy Curriculum	Information Not Available	FastBridge	Star	FastBridge ORF, FastBridge earlyReading, Star Reading	Reading Mastery assessments, Benchmark Literacy Curriculum assessments
RICHFIELD PUBLIC SCHOOL DISTRICT	N	280	16.9	62.8	4000-4999	35.9	21.50%	Information Not Available	PRESS, Leveled Literacy Intervention, Sonday System	NWEA-MAP	Other	NWEA-MAP, Teachers College Reading and Writing College Assessments	PRESS assessments, CBMs, Early Childhood Indicators of Progress
RIDGEWAY COMMUNITY SCHOOL	Y	4083	3.3	15.4	<1000	65.1	N/A	Montessori Curriculum: Language Album, Waseca Reading Program, Language Works, Units of Study, Primary Phonics, Words Their Way	Orton Gillingham, Words Their Way, ROAR, Raz Kids, Primary Phonics	FastBridge	NWEA-MAP	NWEA-MAP, FastBridge aReading, FastBridge CBM Reading, FastBridge earlyReading	Information Not Available
Riverway Learning Community Charter	Y	4064	29.8	68.7	<1000	40	38.60%	Six Minute Solutions, Orton Gillingham strategies, Words Their Way	Read Well, Earobics, Pals, Sound Partners, Stepping Stones, Read Naturally, Rewards, OrtonGillingham, Road to the Code, Phonics for Reading, Odysseyware, ROAR strategies	FastBridge	NWEA-MAP	FastBridge ORF, FastBridge eReading, NWEA-MAP	FastBridge progress monitoring probes
ROCHESTER PUBLIC SCHOOL DISTRICT	N	535	18.3	42	10,000-19,999	49.9	23.10%	Heggerty, Really Great Reading	Creative Curriculum by Teaching Strategies Read 180 by Scholastic System 44 by Scholastic Language! by Voyager Learning Project Read by Language Circle My Sidewalks by Scott Foresman Early Success by Houghton Mifflin Soar to Success by Houghton Mifflin William and Mary by Kendall Hunt Jacob’s Ladder by Prufrock Press Imagine Learning by Imagine Learning, Inc. Minnesota Reading Corp	FastBridge	Other	NWEA-MAP, FastBridge autoReading, FastBridge CBM Fluency	Independent Reading Level Assessment
ROCORI PUBLIC SCHOOL DISTRICT	N	750	14.2	28.6	1000-2999	53.3	40.10%	Wonders	Information Not Available	FastBridge		FastBridge aReading, FastBridge AutoReading, FastBridge earlyReading	Information Not Available
ROSEAU PUBLIC SCHOOL DISTRICT	N	682	17.2	28.4	1000-2999	52.4	45.80%	Journeys	Read Naturally, MN Reading Corps, Orton-Gillingham PAF (phonics), Guided Reading Groups, Incremental Rehearsal, Explode the Code, Reading A-Z	AIMSweb	Benchmark Assessment System	AIMSweb: Early Literacy, Oral Reading Fluency, and Reading Skills, Fountas & Pinnell Benchmarking Guided Reading Assessment, NWEA-MAP	Information Not Available
RTR PUBLIC SCHOOLS	N	2902	16.8	38.1	<1000		35.20%	Information Not Available	Information Not Available	FastBridge		FastBridge CBM-Reading, FastBridge earlyReading, FastBridge AUTO Reading, FastBridge aReading	Information Not Available
RUSH CITY PUBLIC SCHOOL DISTRICT	N	139	17.5	39.6	<1000	50.3	36.30%	Benchmark Literacy	PRESS, Read Naturally, Great Leaps, 18 Minute Solution, Bridge the Gap, Reader's Theater, Duet Reading, Choral Reading, Decodable Texts, Phonics for Reading, REWARDS Reading, Repeated Reading, Paragraph Shrinking, Readworks, Pencil Tap	FastBridge		FastBridge CBM-Reading, FastBridge earlyReading	Benchmark Literacy Comprehension Strategy Assessment
SCHOOLCRAFT LEARNING COMMUNITY CHTR	Y	4058	21.7	48.7	<1000	57.8	44.40%	Daily 5, FUNdations	Leveled Literacy Intervention	Star	Other	Star Reader, Developmental Reading Assessment	Information Not Available
St. Paul School of Northern Lights	Y	4275	26.8	33.8	<1000		30.30%	Information Not Available	Information Not Available	FastBridge	Benchmark Assessment System	Information Not Available	Information Not Available
ST. CHARLES PUBLIC SCHOOL DISTRICT	N	858	13.3	31.9	<1000	52.9	42.80%	Wonders	PALS, Soar to Success, Language for Learning, Orton Gillingham, ROAR, Read Naturally, Words their Way, Accelerated Reader, Guided Reading	FastBridge	Star	Star Accelerated Reader, FastBridge CBM-Reading, FastBridge earlyReading, FastBridge aReading, Dolch Sight Word	FastBridge Fluency Assessment
SEBEKA PUBLIC SCHOOL DISTRICT	N	820	21.6	56.4	<1000	54.9	51.30%	K-5 Into Reading (Houghton Mifflin), Leveled Books (Rigby PM Series)	PRESS, Guided Reading Instruction	FastBridge	Other	FastBridge CBM-R, Dolch/Sight Word Assessment	FastBridge Progress Monitoring, Dolch/Sight Word Assessments, FastBridge CBM-Reading, PRESS Progress Monitoring
SHAKOPEE PUBLIC SCHOOL DISTRICT	N	720	16.4	42.8	5000-9999	56	36.70%	Information Not Available	Read Naturally, Lexia, Study Island, My Sidewalks, LLI	FastBridge	Other	FastBridge assessments (specific assessment not specified), Developmental Reading Assessment	Curriculum based measurements
SIBLEY EAST SCHOOL DISTRICT	N	2310	18.6	47.9	1000-2999	43.9	30.50%	Houghton Mifflin Harcourt Journeys	PRESS, Corrective Reading, Passports, Great Leaps, Earobics, Journeys Common Core Reading Toolkit, Reading Mastery	FastBridge	Other	earlyReading, CBM Reading, aReading, Developmental Reading Assessment	Information Not Available
SOUTHSIDE FAMILY CHARTER SCHOOL	Y	4162	14.5	46.4	<1000		48.70%	Information Not Available	Information Not Available	FastBridge		CBM Reading Assessment	Information Not Available
South Washington County Schools	N	833	18	25.7	10,000-19,999	57.3	33.50%	Fountas & Pinnell	Leveled Literacy Intervention, Read Naturally, Benchmark Phonics, Sonday, Start Up, Build Up, Spiral Up, Comprehension Strategies	Benchmark Assessment System		Fountas & Pinnell Benchmark Assessment System	Information Not Available
Spero Academy	Y	4113	88.3	46.8	<1000		28.60%	Information Not Available	Information Not Available	FastBridge	NWEA-MAP	earlyReading, Bridge Early Literacy and Language Assessment, earlyReading Screening Instrument, Whole to Part, Core Phonics Survey, NWEA-MAP	Curriculum based measurements
Saint Paul Public Schools	N	625	16.9	71.1	>20,000	35.1	19.60%	Information Not Available	FastBridge Intervention Plans and Activities  Phonemic Awareness, Phonics, Fluency Florida Center for Reading Research (FCRR) Activities University of Florida Literacy Institute (UFLI) Instructional Activities Heggerty Primary Extension Curriculum Lessons and Bridge the Gap Intervention Lessons SIPPS (Systematic Instruction in Phonological Awareness, Phonics, and Sight Words)	FastBridge		earlyReading, aReading, CBMreading	AUTOreading
SPRINGFIELD PUBLIC SCHOOL DISTRICT	N	85	17.4	54.3	<1000	64.7	58.80%	Macmillan McGraw Hill Reading and Language Arts	Reading Mastery small groups, Minnesota Reading Corps	AIMSweb	NWEA-MAP	AIMSweb, NWEA-MAP	AIMSweb benchmarking
SPRING GROVE SCHOOL DISTRICT	N	297	11.4	36.1	<1000	65	52.30%	Reading Street	Read Naturally, My Sidewalks, Florida Center for Reading Research activites, Read Well, Great Leaps, direct instruction, whole group, small group, repeated reading, differentiation instruction, literacy circles, flexible groupings, guided reading	AIMSweb	NWEA-MAP	AIMSweb, NWEA-MAP	AIMSweb probes
SPRING LAKE PARK PUBLIC SCHOOLS	N	16	14.7	48.6	5000-9999	47.7	26.40%	GreatMinds Wit and Wisdom and Wilson Fundations and Houghton Mifflin Arriba	Information Not Available	NWEA-MAP		NWEA-MAP, MAP Reading Fluency	Information Not Available
