School Name	Charter (Y/N)	District #	SpEd (%)	Free & Reduced Lunch (%)	District Enrollment	MCA Reading Proficiency %	MCA Reading proficiency % for F&R	Tier 1 Reading Curriculum Used	Tier 2 Reading Interventions Materials	Screening Vendor 1	Screening Vendor 2	Screening measures	Progress Monitoring Measures
Modern Montessori Charter School	Y	4273	19.9	31.3	<1000	48.3	N/A	Montessori Language Curriculum; Fountas & Pinnell Guided Reading curriculum	Information Not Available	Other		Minnesota Executive Function Scale (MEFS); computer adaptive reading assessment program, CBMs	CBMs
MORA PUBLIC SCHOOL DISTRICT	N	332	20.5	46.8	1000-2999	61.5	46.50%	Journeys	PRESS, PALS, Read Naturally,	FastBridge		FastBridge earlyreading, aReading, CBMs	FastBridge earlyreading, aReading, CBMs
MOUNTAIN LAKE PUBLIC SCHOOLS	N	173	24.2	61.7	<1000	46.2	36.60%	Reading Street curriculum	Read Naturally/Reading Eggs ● SPIRE Program ● Scott Foresman Reading Program ● My Sidewalks Reading Intervention Program	NWEA-MAP	AIMSweb	NWEA-MAP, AIMSweb early literacy assessments and ORF	AIMSweb progress monitoring probes
Minnesota Transitions Charter Sch	Y	4017	20	61.5	4000-4999	42.4	24.60%	Houghton-Mifflin Harcourt Journeys; F & P Guided reading	Leveled Literacy Intervention, IXL, ARC core	NWEA-MAP	Other	NWEA-MAP, IRLA Leveling System-American Reading Company]	Information Not Available
NASHA SHKOLA CHARTER SCHOOL	Y	4208	2.5	71.4	<1000	45	37.20%	Benchmark Literacy	Information Not Available	NWEA-MAP	FastBridge	NWEA-MAP Benchmark literacy, FAST assessments	FAST assessments
NERSTRAND CHARTER SCHOOL	Y	4055	19.8	26.7	<1000	48.1	N/A	Information Not Available	Intervention from University of MN Center for Reading Research, PRESS; Words their way	FastBridge	Benchmark Assessment System	NWEA-MAP, FAST early literacy and ORF assessments, AIMSweb ORF, F & P benchamrk system	FAST early literacy and ORF assessments, AIMSweb ORF,
New Century School	Y	4240	7.2	>90	<1000	30.6	31.00%	Myview K-5, Fundations, A-Z learning, Lexia Core	Information Not Available	Other		A-Z Learning running records	Lexia Core progress monitoring, informal assessments
New Millennium Academy	Y	4143	6	81.5	<1000	18.1	16.60%	Wit & Wisdom + Groves Literacy curriculum	Information Not Available	NWEA-MAP	AIMSweb	NWEA-MAP, AIMSweb plus assessments	AIMSweb plus assessments
North Metro Flex Academy	Y	4243	22.8	82.3	<1000	35.6	28.90%	Super Kids, Sonday, and Myview, LETRS	Intensive supports in Super Kids, Sonday, and Myview, LETRS	NWEA-MAP		SuperKids screeners, LETRS phonics and word reading, LETRS basic and advanced spelling, Phonological Awareness Screening Test (PAST)	Information Not Available
Northeast College Prep	Y	4219	11.4	>90	<1000	38.5	37.20%	Pearson’s Reading Streets		NWEA-MAP	Other	NWEA-MAP, reading street's assessments, local assessments	NWEA-MAP, reading street's assessments, local assessments
NORTH SHORE COMMUNITY SCHOOL	Y	4084	10.6	35.2	<1000	62.3	48.80%	Reading Street Curriculum (K-6), From Phonics to Reading (K-3), and the Daily 5 and Daily Café Model	LLI, small-group work in Daily 5	NWEA-MAP	Benchmark Assessment System	NWEA-MAP, F & P BAS	Information Not Available
OSHKI OGIMAAG CHARTER SCHOOL	Y	4195	28	68	<1000		N/A	McGraw-Hill Treasures	McGraw-Hill Triumps curricula	NWEA-MAP	Other	NWEA-MAP, Fountas & Pinnell Guided Reading Program Assessments	Information Not Available
LUVERNE PUBLIC SCHOOL DISTRICT	N	2184	16.6	37.4	1000-2999	61.5	45.50%	Reading Street curriculum	rewards, 6 minute soution, sound partners, SPIRES, Read Naturally, Earobics, LiPs, LLI	Star	FastBridge	FastBridge earlyreading, aReading, CBMs, STAR Reading	FAST assessments
ZUMBROTA-MAZEPPA SCHOOL DISTRICT	N	2805	16	29.4	1000-2999	55.2	35.20%	CKLA from Amplify	Information Not Available	FastBridge		FAST assessments	FAST assessments
PARNASSUS PREPARATORY CHARTER SCH	Y	4199	7.1	47.9	1000-2999	58.1	39.40%	Horizons (HZ) and Reading Mastery (RM)	Pre-teaching Vocabulary • Word Building • Early Reading Intervention • Repeated Reading • Corrective Reading Decoding • Phonics for Reading • Additional small group instruction	NWEA-MAP		NWEA-MAP, early literacy assessments, CBMs and Stanford Achievement Tests	early literacy assessments, CBMs
PERHAM-DENT PUBLIC SCHOOL DISTRICT	N	549	16.5	41.1	1000-2999		35.90%	Information Not Available	Information Not Available	FastBridge	Benchmark Assessment System	FastBridge earlyreading, aReading, CBMs, F & P BAS	FAST assessments
PRAIRIE CREEK COMMUNITY SCHOOL	Y	4090	19.2	15.3	<1000	72.7	N/A	Information Not Available	read narurally, power reading, florida reading research activites, sonday system, making words	Benchmark Assessment System		F & P BAS, Oral language assessment, Mondo publishing, words their wway spelling inventory, doclh sight word lists	Information Not Available
PINE RIVER-BACKUS SCHOOL DISTRICT	N	2174	24.9	66.2	<1000	45.4	35.20%	Benchmark Advanced	Read Narturally, Words their way, LLI, SPIRE, Rewards, Lets talk about it, PRESS	FastBridge	Benchmark Assessment System	FAST ORF, early literacy, STAR reading, BAS	FAST ORF, early literacy, STAR reading
Progeny Academy Charter School	Y	4263	9.4	76.5	<1000	14.8	12.30%	Reading Street curriculum	Information Not Available	NWEA-MAP	AIMSweb	AIMSweb ORF, vocabulary, and comprehension, NWEA-MAP	AIMSWEB and MAP Reading Fluency program
ROCKFORD PUBLIC SCHOOL DISTRICT	N	883	13.7	32.7	1000-2999	53.1	36.30%	Houghton-Mifflin Journeys Reading Program, Making Meaning, Guided Vocabulary, Guided Spelling	Information Not Available	FastBridge	Benchmark Assessment System	FAST Testing, Fountas and Pinnell assessment, Benchmark Assessments - early literacy, ORF, and comprehension	Information Not Available
Red Wing Public School District	N	256	19	40.3	1000-2999	42.9	18.90%	Guided Reading, Just Right Books, Intervention Block, RAZ kids, Reading A-Z	Intervention Block, RAZ kids, Reading A-Z, ROAR, LLI, Reading Eggs, Soar to Success, Study Island	AIMSweb	NWEA-MAP	NWEA-MAP, Quick DRA-2, CBMs	AIMSweb, CBMs
ROSEMOUNT-APPLE VALLEY-EAGAN	N	196	16.5	31.8	>20,000	57.5	33.10%	Information Not Available	Reading Recovery, LLI	Benchmark Assessment System	Other	F & P BAS, Words their way spelling inventory,	Information Not Available
ALBANY PUBLIC SCHOOL DISTRICT	N	745	20.1	24.7	1000-2999	56	37.60%	Wonders by McGraw Hill	LLI, Reading Recovery, Read Naturally, Reading Mastery, Reading Milestones, Repeated Reading, Six Minute Solution, WonderWorks, SOAR, Read180	FastBridge		FAST aReading, AUTOreading, CBMs, earlyReading	FAST assessments
COLOGNE ACADEMY	Y	4188	13.6	19	<1000	71.9	42.50%	CKLA Skills curriculum, Words their way	Road to the Code , Road to Reading , Fountas and Pinnell Leveled Literacy Intervention and FASTBridge Intervention Resources	FastBridge		FAST earlyReading, aReading, CBM-R	FAST assessments
ST. LOUIS PARK PUBLIC SCHOOL DIST.	N	283	15.4	40.1	4000-4999	51.5	11.30%	PALS, Reading A-Z, Orton Gillingham	PALS, PRESS, SIPPS	FastBridge	NWEA-MAP	FAST earlyReading, SBM-R, NWEA-MAP	FAST probes
CHATFIELD PUBLIC SCHOOLS	N	227	11.8	26.9	<1000		46.80%	Information Not Available	Information Not Available	NWEA-MAP	FastBridge	NWEA-MAP, FAST assessments	Information Not Available
MESABI EAST SCHOOL DISTRICT	N	2711	18.8	47.1	<1000	42.7	37.80%	Guided reading, Daily 5	Information Not Available	FastBridge		FAST earlyReading, aReading, CBM-R, Words their way inventories	FAST assessments
Lakes International Language Academ	Y	4116	13.1	19.1	1000-2999	54.4	37.00%	American Reading Company Curriculum	Information Not Available	Other	FastBridge	American Reading Company Independent Reading Level Assessment, FAST earlyReading	Information Not Available
WINONA AREA PUBLIC SCHOOL DISTRICT	N	861	21.6	48.5	1000-2999	41.7	21.80%	Houghton-Mifflin, Literacy Link, Study Island, RAZ, Reading Eggs	Information Not Available	FastBridge	Other	FAST assessments, Rigby Benchmarking	FAST assessments
FRIDLEY PUBLIC SCHOOL DISTRICT	N	14	14.9	75.5	1000-2999	33.4	23.70%	Information Not Available	PRESS (Path to Reading Excellence in School Sites) interventions, FASTbridge interventions, Orton-Gillingham, and Leveled Literacy Instruction			FAST aReading, AUTOreading, CBMs, earlyReading	FAST assessments
EASTERN CARVER COUNTY PUBLIC SCHOOL	N	112	15.5	22	5000-9999	60.8	33.40%	Houghton Mifflin-Journey’s (Will be discontinued), Being a Reader from Collaborative Classroom, Being a Reader (BAR) K-2, Units of Study (UoS) from Columbia Teachers College K-5	PRESS, LLI, Sonday	FastBridge	Other	FAST aReading, earlyreading, CBM-R, BAR assessments, Benchmark Assessment System (BAS)	FAST aReading, earlyreading, CBM-R, BAR assessments, Benchmark Assessment System (BAS)
WHITE BEAR LAKE SCHOOL DISTRICT	N	624	18.8	32.6	5000-9999	54.9	32.90%	Benchmark Literacy, Reading A-Z, Reading Rockets	LETRS	FastBridge	Benchmark Assessment System	FAST early reading, CBMs, guided reading level -BAS,	
